単位数,曜日時限,開講区分,担当教員,授業科目,曜日,開講年度学期,row_index
0.5単位,火1,週間授業(学期後半),林　正黙,F08572 ハングルⅠＢ (後半)ハングル 林 正黙,2,2025年度春学期,1
2.0単位,火2,週間授業,林　正黙,F08580 初修外国語１ ハングル 林 正黙,2,2025年度春学期,2
0.5単位,火2,週間授業(学期前半),林　正黙,F08581 ハングルⅠＡ (前半)ハングル 林 正黙,2,2025年度春学期,3
0.5単位,火2,週間授業(学期後半),林　正黙,F08582 ハングルⅠＢ (後半)ハングル 林 正黙,2,2025年度春学期,4
2.0単位,火3,週間授業,林　正黙,F08590 初修外国語１ ハングル 林 正黙,2,2025年度春学期,5
0.5単位,火3,週間授業(学期前半),林　正黙,F08591 ハングルⅠＡ (前半)ハングル 林 正黙,2,2025年度春学期,6
0.5単位,火3,週間授業(学期後半),林　正黙,F08592 ハングルⅠＢ (後半)ハングル 林 正黙,2,2025年度春学期,7
2.0単位,火1,週間授業,林　正黙,F08600 初修外国語１ ハングル 林 正黙,2,2025年度秋学期,8
0.5単位,火1,週間授業(学期前半),林　正黙,F08601 ハングルⅠＡ (前半)ハングル 林 正黙,2,2025年度秋学期,9
0.5単位,火1,週間授業(学期後半),林　正黙,F08602 ハングルⅠＢ (後半)ハングル 林 正黙,2,2025年度秋学期,10
2.0単位,火2,週間授業,林　正黙,F08610 初修外国語１ ハングル 林 正黙,2,2025年度秋学期,11
0.5単位,火2,週間授業(学期前半),林　正黙,F08611 ハングルⅠＡ (前半)ハングル 林 正黙,2,2025年度秋学期,12
0.5単位,火2,週間授業(学期後半),林　正黙,F08612 ハングルⅠＢ (後半)ハングル 林 正黙,2,2025年度秋学期,13
2.0単位,火5,週間授業,石井　成人,F08710 初修外国語１ フランス語 石井 成人,2,2025年度春学期,14
0.5単位,火5,週間授業(学期前半),石井　成人,F08711 フランス語ⅠＡ (前半)フランス語 石井 成人,2,2025年度春学期,15
0.5単位,火5,週間授業(学期後半),石井　成人,F08712 フランス語ⅠＢ (後半)フランス語 石井 成人,2,2025年度春学期,16
2.0単位,火5,週間授業,石井　成人,F08720 初修外国語１ フランス語 石井 成人,2,2025年度秋学期,17
0.5単位,火5,週間授業(学期前半),石井　成人,F08721 フランス語ⅠＡ (前半)フランス語 石井 成人,2,2025年度秋学期,18
0.5単位,火5,週間授業(学期後半),石井　成人,F08722 フランス語ⅠＢ (後半)フランス語 石井 成人,2,2025年度秋学期,19
2.0単位,火1,週間授業,奥野　新太郎,F08760 初修外国語１ 中国語 奥野 新太郎,2,2025年度春学期,20
0.5単位,火1,週間授業(学期前半),奥野　新太郎,F08761 中国語ⅠＡ (前半)中国語 奥野 新太郎,2,2025年度春学期,21
0.5単位,火1,週間授業(学期後半),奥野　新太郎,F08762 中国語ⅠＢ (後半)中国語 奥野 新太郎,2,2025年度春学期,22
2.0単位,火2,週間授業,楊　霊琳,F08800 初修外国語１ 中国語 楊 霊琳,2,2025年度春学期,23
0.5単位,火2,週間授業(学期前半),楊　霊琳,F08801 中国語ⅠＡ (前半)中国語 楊 霊琳,2,2025年度春学期,24
0.5単位,火2,週間授業(学期後半),楊　霊琳,F08802 中国語ⅠＢ (後半)中国語 楊 霊琳,2,2025年度春学期,25
2.0単位,火1,週間授業,朱　風,F08870 初修外国語１ 中国語 朱 風,2,2025年度春学期,26
2.0単位,火2,週間授業,朱　風,F08880 初修外国語１ 中国語 朱 風,2,2025年度春学期,27
2.0単位,火1,週間授業,朱　風,F08890 初修外国語１ 中国語 朱 風,2,2025年度秋学期,28
2.0単位,火2,週間授業,朱　風,F08900 初修外国語１ 中国語 朱 風,2,2025年度秋学期,29
2.0単位,火3,週間授業,華　信来,F08910 初修外国語１ 中国語 華 信来,2,2025年度春学期,30
2.0単位,火4,週間授業,華　信来,F08920 初修外国語１ 中国語 華 信来,2,2025年度春学期,31
2.0単位,火3,週間授業,華　信来,F08930 初修外国語１ 中国語 華 信来,2,2025年度秋学期,32
2.0単位,火4,週間授業,華　信来,F08940 初修外国語１ 中国語 華 信来,2,2025年度秋学期,33
2.0単位,火1,週間授業,奥野　新太郎,F09030 初修外国語２ 中国語 奥野 新太郎,2,2025年度秋学期,34
0.5単位,火1,週間授業(学期前半),奥野　新太郎,F09031 中国語ⅡＡ (前半)中国語 奥野 新太郎,2,2025年度秋学期,35
0.5単位,火1,週間授業(学期後半),奥野　新太郎,F09032 中国語ⅡＢ (後半)中国語 奥野 新太郎,2,2025年度秋学期,36
2.0単位,火3,週間授業,朱　風,F09050 初修外国語２ 中国語 朱 風,2,2025年度春学期,37
2.0単位,火5,週間授業,楊　霊琳,F09080 初修外国語３ 中国語 楊 霊琳,2,2025年度春学期,38
2.0単位,火4,週間授業,楊　霊琳,F09090 初修外国語３ 中国語 楊 霊琳,2,2025年度秋学期,39
2.0単位,火5,週間授業,佐藤　美穂,F09100 基盤日本語１ 留学生対象科目 佐藤 美穂,2,2025年度春学期,40
2.0単位,火5,週間授業,谷川　依津江,F09120 基盤日本語１ 留学生対象科目 谷川 依津江,2,2025年度春学期,41
2.0単位,火5,週間授業,野間川内　一樹／安井　正也／中山　紘之／林　恒宏／横山　ひとみ,F09480 リーダーシップ・ゼミナール,2,2025年度秋学期,42
2.0単位,火5,週間授業,野間川内　一樹／安井　正也／中山　紘之／林　恒宏／横山　ひとみ,F09481 リーダーシップ・ゼミナール,2,2025年度秋学期,43
2.0単位,火4,週間授業,大江　貴司,F10810 シミュレーションの数理,2,2025年度春学期,44
2.0単位,火1,週間授業,須藤　清一,F10840 システムの数理Ⅱ ＭＡクラス,2,2025年度秋学期,45
2.0単位,火2,週間授業,須藤　清一,F10850 システムの数理Ⅱ ＭＢクラス,2,2025年度秋学期,46
2.0単位,火5 金5,週間授業(学期前半),阿部　拓,F10940 数学基礎と演習Ⅰ (前半)火5金5,2,2025年度春学期,47
2.0単位,火5 金5,週間授業(学期後半),井上　雅照,F10950 数学基礎と演習Ⅱ (後半)火5金5,2,2025年度春学期,48
2.0単位,火3,週間授業,渡邊　道之,F11000 解析学と演習Ⅲ 2023年度以降入学生,2,2025年度秋学期,49
2.0単位,火3 金3,週間授業(学期前半),鬼塚　政一,F11050 微分積分学と演習Ⅰ (前半)火3金3 ＭＡクラス,2,2025年度春学期,50
2.0単位,火4 金4,週間授業(学期前半),鬼塚　政一,F11060 微分積分学と演習Ⅰ (前半)火4金4 ＭＢクラス,2,2025年度春学期,51
2.0単位,火3 金3,週間授業(学期後半),井上　雅照,F11070 微分積分学と演習Ⅱ (後半)火3金3 ＭＡクラス,2,2025年度春学期,52
2.0単位,火4 金4,週間授業(学期後半),井上　雅照,F11080 微分積分学と演習Ⅱ (後半)火4金4 ＭＢクラス,2,2025年度春学期,53
2.0単位,火3 金3,週間授業(学期前半),柴田　大樹,F11130 線型代数学と演習Ⅰ (前半)火3金3 ＭＢクラス,2,2025年度春学期,54
2.0単位,火4 金4,週間授業(学期前半),柴田　大樹,F11140 線型代数学と演習Ⅰ (前半)火4金4 ＭＡクラス,2,2025年度春学期,55
2.0単位,火3 金3,週間授業(学期後半),坂内　真三,F11150 線型代数学と演習Ⅱ (後半)火3金3 ＭＢクラス,2,2025年度春学期,56
2.0単位,火4 金4,週間授業(学期後半),坂内　真三,F11160 線型代数学と演習Ⅱ (後半)火4金4 ＭＡクラス,2,2025年度春学期,57
2.0単位,火1 金1,週間授業(学期前半),渡邊　道之,F11210 微分積分学と演習Ⅴ (前半)火1金1 ＭＡクラス,2,2025年度春学期,58
2.0単位,火2 金2,週間授業(学期前半),渡邊　道之,F11220 微分積分学と演習Ⅴ (前半)火2金2 ＭＢクラス,2,2025年度春学期,59
2.0単位,火1 金1,週間授業(学期後半),渡邊　道之,F11230 微分積分学と演習Ⅵ (後半)火1金1 ＭＡクラス 2024年度以降入学,2,2025年度春学期,60
2.0単位,火2 金2,週間授業(学期後半),渡邊　道之,F11240 微分積分学と演習Ⅵ (後半)火2金2 ＭＢクラス 2024年度以降入学,2,2025年度春学期,61
2.0単位,火1 金1,週間授業(学期前半),瓜屋　航太,F11250 微分積分学と演習Ⅶ (前半)火1金1 ＭＡクラス 2024年度以降入学,2,2025年度秋学期,62
2.0単位,火2 金2,週間授業(学期前半),瓜屋　航太,F11260 微分積分学と演習Ⅶ (前半)火2金2 ＭＢクラス 2024年度以降入学,2,2025年度秋学期,63
2.0単位,火1 金1,週間授業(学期後半),鬼塚　政一,F11270 微分積分学と演習Ⅷ (後半)火1金1 ＭＡクラス 2024年度以降入学,2,2025年度秋学期,64
2.0単位,火2 金2,週間授業(学期後半),鬼塚　政一,F11280 微分積分学と演習Ⅷ (後半)火2金2 ＭＢクラス 2024年度以降入学,2,2025年度秋学期,65
2.0単位,火1 金1,週間授業(学期前半),坂内　真三,F11290 線型代数学と演習Ⅴ (前半)火1金1 ＭＢクラス,2,2025年度春学期,66
2.0単位,火2 金2,週間授業(学期前半),坂内　真三,F11300 線型代数学と演習Ⅴ (前半)火2金2 ＭＡクラス,2,2025年度春学期,67
2.0単位,火1 金1,週間授業(学期後半),浜畑　芳紀,F11310 線型代数学と演習Ⅵ (後半)火1金1 ＭＢクラス,2,2025年度春学期,68
2.0単位,火2 金2,週間授業(学期後半),浜畑　芳紀,F11320 線型代数学と演習Ⅵ (後半)火2金2 ＭＡクラス,2,2025年度春学期,69
2.0単位,火1 金1,週間授業(学期前半),山田　紀美子,F11330 線型代数学と演習Ⅶ (前半)火1金1 ＭＢクラス,2,2025年度秋学期,70
2.0単位,火2 金2,週間授業(学期前半),山田　紀美子,F11340 線型代数学と演習Ⅶ (前半)火2金2 ＭＡクラス,2,2025年度秋学期,71
2.0単位,火1 金1,週間授業(学期後半),阿部　拓,F11350 線型代数学と演習Ⅷ (後半)火1金1 ＭＢクラス,2,2025年度秋学期,72
2.0単位,火2 金2,週間授業(学期後半),阿部　拓,F11360 線型代数学と演習Ⅷ (後半)火2金2 ＭＡクラス,2,2025年度秋学期,73
2.0単位,火4,週間授業,鬼塚　政一,F11370 現象の数理Ⅱ,2,2025年度秋学期,74
1.0単位,火4,週間授業(学期前半),鬼塚　政一,F11371 現象の数理Ⅱａ (前半),2,2025年度秋学期,75
1.0単位,火4,週間授業(学期後半),鬼塚　政一,F11372 現象の数理Ⅱｂ (後半),2,2025年度秋学期,76
2.0単位,火4,週間授業,井上　雅照,F11420 幾何学と演習Ⅰ,2,2025年度秋学期,77
2.0単位,火3,週間授業,黒木　慎太郎,F11460 集合と位相Ⅰ,2,2025年度秋学期,78
2.0単位,火3,週間授業,大江　貴司,F11530 情報数学Ⅰ,2,2025年度春学期,79
2.0単位,火4,週間授業,藤木　利之,F11620 植物生理学,2,2025年度春学期,80
2.0単位,火3,週間授業,皿田　琢司,F11710 教育基礎論,2,2025年度秋学期,81
2.0単位,火1,週間授業,伊代野　淳,F11740 情報システムⅡ,2,2025年度秋学期,82
2.0単位,火2,週間授業,三浦　佐代子,F11750 情報と職業 (基礎),2,2025年度秋学期,83
2.0単位,火5,週間授業,荒谷　督司,F11830 線形数理,2,2025年度春学期,84
2.0単位,火4 火5,週間授業,森　嘉久／小坂　圭二／田邉　洋一,F11930 物理学実験 火45 ＳＡクラス,2,2025年度秋学期,85
2.0単位,火1 火2,週間授業(学期後半),稲葉　和正,F12090 数学要論Ⅱ (後半)火12,2,2025年度春学期,86
2.0単位,火5,週間授業,杉山　裕子,F12200 物理化学,2,2025年度春学期,87
2.0単位,火5,週間授業,東村　秀之,F12410 有機化学Ⅰ,2,2025年度秋学期,88
2.0単位,火2,週間授業,藤木　利之,F12430 生命科学Ⅰ,2,2025年度春学期,89
2.0単位,火2,週間授業,齋藤　達昭,F12440 生命科学Ⅱ,2,2025年度秋学期,90
2.0単位,火4,週間授業,鎌滝　孝信,F12450 地球科学Ⅰ,2,2025年度春学期,91
2.0単位,火4,週間授業,長渕　裕,F12480 解析学Ⅰ,2,2025年度秋学期,92
2.0単位,火2,週間授業,山崎　洋一,F12510 確率・統計Ⅱ,2,2025年度秋学期,93
2.0単位,火1 火2,週間授業(学期前半),稲葉　和正,F12560 数学要論Ⅰ (前半)火12,2,2025年度春学期,94
2.0単位,火1,週間授業,森　嘉久,F12600 電気磁気学Ⅰ,2,2025年度秋学期,95
2.0単位,火1,週間授業,齋藤　達昭,F12630 生物化学,2,2025年度春学期,96
2.0単位,火1,週間授業,石田　弘樹,F12830 応用電磁気学,2,2025年度春学期,97
2.0単位,火2,週間授業,長尾　桂子,F12840 プログラミング,2,2025年度秋学期,98
2.0単位,火3,週間授業,渡邉　誠,F12920 光物理学,2,2025年度秋学期,99
2.0単位,火2,週間授業,山本　薫,F12930 熱力学,2,2025年度春学期,0
2.0単位,火3 火4,週間授業,米田　稔／渡邉　誠／松島　康,F13040 応用物理学実験 火34,2,2025年度春学期,1
3.0単位,火3 火4 火5 金3 金4 金5,週間授業(学期前半),川本　大祐／横山　崇／山田　真路,F13180 分析化学実験 (前半)火345金345〔3年;2年Sコース〕,2,2025年度春学期,2
2.0単位,火2,週間授業,横山　崇,F13250 分析化学演習,2,2025年度秋学期,3
2.0単位,火1,週間授業,山田　真路,F13300 バイオ有機化学,2,2025年度秋学期,4
3.0単位,火3 火4 火5 金3 金4 金5,週間授業(学期後半),佐藤　泰史／満身　稔,F13470 無機化学実験 (後半)火345金345,2,2025年度秋学期,5
3.0単位,火3 火4 火5 金3 金4 金5,週間授業(学期前半),若松　寛／岩永　哲夫,F13480 有機化学実験 (前半)火345金345,2,2025年度秋学期,6
3.0単位,火3 火4 火5 金3 金4 金5,週間授業(学期後半),大坂　昇／酒井　誠,F13490 物理化学実験 (後半)火345金345〔3年;2年Sコース〕,2,2025年度春学期,7
2.0単位,火2,週間授業,若松　寛,F13560 有機化学Ⅲ,2,2025年度春学期,8
2.0単位,火3,週間授業,水野　信哉,F13770 動物病理学,2,2025年度秋学期,9
2.0単位,火4 火5,週間授業,小林　秀司／竹ノ下　祐二,F13820 野外調査実習 火45,2,2025年度春学期,10
2.0単位,火4 火5,週間授業,中本　敦／目加田　和之,F13850 動物保全・育種学実習 火45,2,2025年度秋学期,11
2.0単位,火2,週間授業,託見　健,F13930 動物生理学,2,2025年度秋学期,12
2.0単位,火2,週間授業,中本　敦,F14000 動物環境学,2,2025年度春学期,13
2.0単位,火1,週間授業,目加田　和之,F14050 実験動物学,2,2025年度春学期,14
2.0単位,火1,週間授業,目加田　和之,F14060 動物関連法規,2,2025年度秋学期,15
2.0単位,火2,週間授業,中本　敦,F14140 動物生態学,2,2025年度秋学期,16
2.0単位,火3,週間授業,目加田　和之／村上　貴弘／布目　三夫／小林　秀司／託見　健／中本　敦／水野　信哉／竹ノ下　祐二,F14170 動物学ゼミナール,2,2025年度春学期,17
2.0単位,火1,週間授業,竹ノ下　祐二,F14180 自然人類学,2,2025年度春学期,18
2.0単位,火3,週間授業,竹ノ下　祐二,F14190 霊長類学,2,2025年度秋学期,19
2.0単位,火2,週間授業,竹ノ下　祐二,F14200 動物園学,2,2025年度春学期,20
2.0単位,火2,週間授業,富安　聡／逢坂　大樹,F14520 検査総合管理学,2,2025年度秋学期,21
2.0単位,火2,週間授業,逢坂　大樹／富安　聡,F14580 生化学検査学,2,2025年度春学期,22
1.0単位,火2,週間授業(学期前半),片岡　健,F14610 血液検査学Ⅱ (前半),2,2025年度秋学期,23
1.0単位,火2,週間授業(学期後半),片岡　健／児島　葉子,F14630 再生医療移植学 (後半),2,2025年度秋学期,24
2.0単位,火1,週間授業,山口　悟,F14640 先端医学機器論,2,2025年度春学期,25
2.0単位,火3 火4 火5,週間授業,橋川　直也／橋川　成美／玉木　俊治／前田　なつ美,F14660 生理学実習 火345,2,2025年度秋学期,26
1.0単位,火3 火4 火5,週間授業(学期前半),橋川　直也／橋川　成美／玉木　俊治／前田　なつ美,F14661 生理学実習 (前半)火345,2,2025年度秋学期,27
1.0単位,火3 火4 火5,週間授業(学期後半),橋川　直也／橋川　成美／玉木　俊治／前田　なつ美,F14662 臨床生理学実習Ⅰ (後半)火345,2,2025年度秋学期,28
2.0単位,火3,週間授業,林　良太,F14840 力学Ⅰ,2,2025年度春学期,29
2.0単位,火3,週間授業,田中　雅次,F14860 コンピュータ基礎,2,2025年度秋学期,30
2.0単位,火1,週間授業,衣笠　哲也,F15060 自動制御Ⅱ,2,2025年度春学期,31
2.0単位,火2,週間授業,田中　雅次,F15070 機械要素Ⅰ,2,2025年度春学期,32
2.0単位,火2,週間授業,關　正憲,F15080 機械要素Ⅱ,2,2025年度秋学期,33
2.0単位,火1,週間授業,關　正憲,F15130 微分と積分,2,2025年度春学期,34
2.0単位,火1,週間授業,吉田　浩治,F15150 微分方程式,2,2025年度秋学期,35
2.0単位,火3,週間授業,田中　雅次,F15180 数値計算,2,2025年度春学期,36
2.0単位,火3 火4 火5,週間授業,清水　一郎／岩野　耕治／中川　惠友／桑木　賢也／中井　賢治／吉田　浩治／關　正憲／近藤　千尋／竹村　明洋,F15220 機械工学実験Ⅰ 火345(機シ以外は教職の教科に関する科目),2,2025年度春学期,37
2.0単位,火3 火4 火5,週間授業,清水　一郎／岩野　耕治／中川　惠友／桑木　賢也／中井　賢治／吉田　浩治／關　正憲／近藤　千尋／竹村　明洋,F15230 機械工学実験Ⅱ 火345(機シ以外は教職の教科に関する科目),2,2025年度秋学期,38
2.0単位,火5,週間授業,篠原　隆,F15390 工業概論 (工：教職の教科に関する科目),2,2025年度秋学期,39
2.0単位,火2,週間授業,近藤　千尋,F15420 エンジン工学,2,2025年度春学期,40
2.0単位,火2,週間授業,岩野　耕治,F15430 航空流体力学,2,2025年度秋学期,41
2.0単位,火1,週間授業,垣谷　公徳,F15480 応用数学Ⅱ,2,2025年度春学期,42
2.0単位,火2,週間授業,栗田　満史,F15500 電磁気学Ⅱ,2,2025年度春学期,43
2.0単位,火4 火5,週間授業,七戸　希／栗田　満史／太田　寛志,F15530 電気電子工学実験Ⅰ 火45,2,2025年度秋学期,44
2.0単位,火4 火5,週間授業,麻原　寛之／栗田　満史／河村　実生／荒井　伸太郎,F15540 電気電子工学実験Ⅱ 火45,2,2025年度春学期,45
2.0単位,火1,週間授業,クルモフ　バレリー,F15720 システム工学,2,2025年度春学期,46
2.0単位,火3,週間授業,垣谷　公徳,F15740 電子物性工学,2,2025年度春学期,47
2.0単位,火3,週間授業,河村　実生,F15760 光・電気電子材料,2,2025年度秋学期,48
2.0単位,火4,週間授業,道西　博行,F15810 コンピュータ工学Ⅱ,2,2025年度春学期,49
2.0単位,火1,週間授業,垣谷　公徳,F15820 数値計算,2,2025年度秋学期,50
2.0単位,火4,週間授業,籠谷　裕人,F15870 ディジタル回路Ⅱ,2,2025年度秋学期,51
2.0単位,火2,週間授業,麻原　寛之,F15920 電気回路Ⅱ,2,2025年度秋学期,52
2.0単位,火3,週間授業,大原　秀樹,F15990 情報社会と情報倫理,2,2025年度秋学期,53
2.0単位,火3,週間授業,大原　秀樹,F16030 情報と職業 （再）火３,2,2025年度春学期,54
2.0単位,火2,週間授業,川畑　宣之,F16050 コンピュータネットワーク,2,2025年度秋学期,55
2.0単位,火3,週間授業,小田　哲也,F16200 組込みシステム,2,2025年度秋学期,56
2.0単位,火4,週間授業,島田　恭宏,F16220 インタラクティブシステム,2,2025年度秋学期,57
1.0単位,火4,週間授業(学期前半),島田　恭宏／上田　千晶,F16330 情報工学フロンティアⅠ (前半)火4 JBクラス,2,2025年度春学期,58
1.0単位,火4,週間授業(学期後半),島田　英之／川畑　宣之／島田　恭宏／西川　憲明／片山　謙吾／尾崎　亮／上嶋　明／麻谷　淳／近藤　真史／上田　千晶,F16350 情報工学フロンティアⅡ (後半)火4 JBクラス,2,2025年度春学期,59
0.5単位,火2,週間授業(学期前半),川畑　宣之,F16390 専門英語ⅠＡ (前半)火2 JAクラス,2,2025年度春学期,60
0.5単位,火2,週間授業(学期後半),川畑　宣之,F16391 専門英語ⅠＢ (後半)火2 JAクラス,2,2025年度春学期,61
2.0単位,火2,週間授業,川畑　宣之,F16392 実践プログラミングⅠ 火2 JAクラス,2,2025年度春学期,62
0.5単位,火3,週間授業(学期前半),片山　謙吾,F16400 専門英語ⅠＡ (前半)火3 JBクラス,2,2025年度春学期,63
0.5単位,火3,週間授業(学期後半),片山　謙吾,F16401 専門英語ⅠＢ (後半)火3 JBクラス,2,2025年度春学期,64
2.0単位,火3,週間授業,片山　謙吾,F16402 実践プログラミングⅠ 火3 JBクラス,2,2025年度春学期,65
0.5単位,火2,週間授業(学期前半),西川　憲明,F16410 専門英語ⅡＡ (前半)火2 JBクラス,2,2025年度秋学期,66
0.5単位,火2,週間授業(学期後半),西川　憲明,F16411 専門英語ⅡＢ (後半)火2 JBクラス,2,2025年度秋学期,67
2.0単位,火2,週間授業,西川　憲明,F16412 実践プログラミングⅡ 火2 JBクラス,2,2025年度秋学期,68
0.5単位,火3,週間授業(学期前半),西川　憲明,F16420 専門英語ⅡＡ (前半)火3 JAクラス,2,2025年度秋学期,69
0.5単位,火3,週間授業(学期後半),西川　憲明,F16421 専門英語ⅡＢ (後半)火3 JAクラス,2,2025年度秋学期,70
2.0単位,火3,週間授業,西川　憲明,F16422 実践プログラミングⅡ 火3 JAクラス,2,2025年度秋学期,71
2.0単位,火4,週間授業,大原　秀樹,F16470 情報社会と情報倫理,2,2025年度秋学期,72
2.0単位,火3,週間授業,上田　千晶,F16540 応用数学Ⅰ,2,2025年度秋学期,73
2.0単位,火2,週間授業,上嶋　明,F16560 論理回路Ⅰ,2,2025年度春学期,74
2.0単位,火2,週間授業,尾崎　亮,F16580 コンピュータ工学Ⅰ,2,2025年度秋学期,75
2.0単位,火1,週間授業,折田　明浩,F16670 基礎有機化学,2,2025年度秋学期,76
3.0単位,火3 火4 火5 金3 金4 金5,週間授業(学期前半),竹崎　誠／森山　佳子／草野　圭弘／牧　涼介,F16860 応用化学実験Ⅰ (前半)火345金345,2,2025年度春学期,77
3.0単位,火3 火4 火5 金3 金4 金5,週間授業(学期後半),平野　博之／永谷　尚紀／押谷　潤／藤田　佳江,F16870 応用化学実験Ⅱ (後半)火345金345,2,2025年度春学期,78
3.0単位,火3 火4 火5 金3 金4 金5,週間授業(学期前半),折田　明浩／滝澤　昇／古賀　雄一／奥田　靖浩,F16880 応用化学実験Ⅲ (前半)火345金345,2,2025年度秋学期,79
3.0単位,火3 火4 火5 金3 金4 金5,週間授業(学期後半),草野　圭弘／滝澤　昇／森山　佳子／折田　明浩／平野　博之／竹崎　誠／永谷　尚紀／古賀　雄一／押谷　潤／奥田　靖浩／牧　涼介,F16890 応用化学実験Ⅳ (後半)火345金345,2,2025年度秋学期,80
2.0単位,火1,週間授業,奥田　靖浩／折田　明浩,F16930 創薬化学,2,2025年度春学期,81
2.0単位,火2,週間授業,西本　孝,F17060 生物学基礎論Ⅰ 西本 孝,2,2025年度春学期,82
2.0単位,火2,週間授業,永谷　尚紀,F17070 生物学基礎論Ⅱ 永谷 尚紀,2,2025年度秋学期,83
2.0単位,火2,週間授業,中西　啓二／中山　哲士,F17260 情報リテラシー,2,2025年度春学期,84
2.0単位,火4,週間授業,湯浅　康生,F17290 建築法規,2,2025年度秋学期,85
2.0単位,火1,週間授業,中西　啓二,F17300 建築生産,2,2025年度春学期,86
2.0単位,火1,週間授業,納村　信之／八百板　季穂／馬淵　大宇,F17420 住宅生産システム （住宅生産システム）,2,2025年度秋学期,87
2.0単位,火2,週間授業,馬淵　大宇／八百板　季穂／小林　美砂子／廣瀬　寛騎,F17430 ＣＡＤ／ＣＧ演習Ⅱ ＺＡクラス,2,2025年度秋学期,88
2.0単位,火3,週間授業,馬淵　大宇／八百板　季穂／小林　美砂子／廣瀬　寛騎,F17440 ＣＡＤ／ＣＧ演習Ⅱ ＺＢクラス,2,2025年度秋学期,89
2.0単位,火2,週間授業,八百板　季穂,F17470 都市計画,2,2025年度春学期,90
2.0単位,火3,週間授業,増田　俊哉,F17500 西洋建築史,2,2025年度春学期,91
2.0単位,火2,週間授業,平山　文則,F17510 建築デザイン論,2,2025年度秋学期,92
2.0単位,火2,週間授業,堀田　洋之,F17560 構造力学演習,2,2025年度秋学期,93
2.0単位,火4,週間授業,堀田　洋之,F17570 構造力学Ⅲ,2,2025年度春学期,94
2.0単位,火4,週間授業,小林　正実／河﨑　弥生,F17610 木質構造,2,2025年度春学期,95
1.5単位,火3 火4 火5,週間授業(学期前半),平山　文則／弥田　俊男／納村　信之／増田　俊哉,F17740 設計演習Ⅴ－１ (前半)火345,2,2025年度秋学期,96
1.5単位,火3 火4 火5,週間授業(学期後半),平山　文則／弥田　俊男／後藤　哲夫／増田　俊哉,F17750 設計演習Ⅴ－２ (後半)火345,2,2025年度秋学期,97
1.0単位,火3,週間授業(学期前半),堀　純也,F17890 関係法規 (前半),2,2025年度春学期,98
2.0単位,火4,週間授業,堀　純也,F17950 電子工学,2,2025年度春学期,99
1.0単位,火3 火4 火5,週間授業(学期前半),小畑　秀明／浅原　佳江／竹本　和憲,F18130 医用治療機器学実習 (前半)火345,2,2025年度秋学期,0
1.0単位,火3 火4 火5,週間授業(学期後半),小畑　秀明／浅原　佳江／竹本　和憲,F18140 医用生体計測装置学実習 (後半)火345,2,2025年度秋学期,1
1.0単位,火3,週間授業(学期後半),浅原　佳江,F18250 チーム医療概論 (後半),2,2025年度春学期,2
2.0単位,火5,週間授業,内貴　猛,F18270 医用機械工学,2,2025年度春学期,3
2.0単位,火4,週間授業,松宮　潔,F18300 医用治療機器学,2,2025年度秋学期,4
4.0単位,火1 火2,週間授業,林　国人,F18330 生体機能代行装置学Ⅰ 火12,2,2025年度春学期,5
4.0単位,火1 火2,週間授業,林　国人,F18340 生体機能代行装置学Ⅱ 火12,2,2025年度秋学期,6
2.0単位,火4 金4,週間授業(学期後半),加瀬　遼一,F18600 基礎数学Ⅱ (後半)火4金4 加瀬遼一,2,2025年度春学期,7
2.0単位,火4 金4,週間授業(学期後半),榊原　道夫,F18610 基礎数学Ⅱ (後半)火4金4 榊原道夫,2,2025年度春学期,8
2.0単位,火4 金4,週間授業(学期後半),江本　正喜,F18620 基礎数学Ⅱ (後半)火4金4 江本正喜,2,2025年度春学期,9
2.0単位,火4 金4,週間授業(学期後半),菅野　幸夫,F18630 基礎数学Ⅱ (後半)火4金4 菅野幸夫,2,2025年度春学期,10
2.0単位,火1 金1,週間授業(学期前半),川島　正行,F18680 基礎解析Ⅱ (前半)火1金1 川島正行,2,2025年度秋学期,11
2.0単位,火1 金1,週間授業(学期前半),李　天鎬,F18690 基礎解析Ⅱ (前半)火1金1 李天鎬,2,2025年度秋学期,12
2.0単位,火1 金1,週間授業(学期前半),榊原　道夫,F18700 基礎解析Ⅱ (前半)火1金1 榊原道夫,2,2025年度秋学期,13
2.0単位,火1 金1,週間授業(学期前半),荒木　圭典,F18710 基礎解析Ⅱ (前半)火1金1 荒木圭典,2,2025年度秋学期,14
2.0単位,火1 金1,週間授業(学期後半),川島　正行,F18800 解析Ⅰ (後半)火1金1 川島正行,2,2025年度秋学期,15
2.0単位,火1 金1,週間授業(学期後半),栁　貴久男,F18810 解析Ⅰ (後半)火1金1 栁貴久男,2,2025年度秋学期,16
2.0単位,火1 金1,週間授業(学期後半),榊原　道夫,F18820 解析Ⅰ (後半)火1金1 榊原道夫,2,2025年度秋学期,17
2.0単位,火4 金4,週間授業(学期前半),中川　重和,F18830 応用数学Ⅰ (前半)火4金4 中川重和,2,2025年度春学期,18
2.0単位,火4 金4,週間授業(学期前半),小野　舞子,F18840 応用数学Ⅰ (前半)火4金4 小野舞子,2,2025年度春学期,19
