曜日時限,授業科目,担当教員,開講区分,開講年度学期,単位数,曜日
火3,F05381 法学Ａ (前半)（法学）,佐藤　元治,週間授業(学期前半),2025年度春学期,1.0単位,2
火3,F05382 法学Ｂ (後半)（法学）,佐藤　元治,週間授業(学期後半),2025年度春学期,1.0単位,2
火3,F05400 社会を読みとくＡ （法学）,佐藤　元治,週間授業,2025年度秋学期,2.0単位,2
火3,F05401 法学Ａ (前半)（法学）,佐藤　元治,週間授業(学期前半),2025年度秋学期,1.0単位,2
火3,F05402 法学Ｂ (後半)（法学）,佐藤　元治,週間授業(学期後半),2025年度秋学期,1.0単位,2
火2,F05660 日本国憲法,佐藤　元治,週間授業,2025年度春学期,2.0単位,2
火2,F05700 日本国憲法,佐藤　元治,週間授業,2025年度秋学期,2.0単位,2
火1,F06000 技術を読みとく （怪しげな科学技術情報を考える）,高原　周一／滝澤　昇／猪口　雅彦／片岡　健,週間授業,2025年度春学期,2.0単位,2
火3,F06070 基盤数学（微分積分１） 中川 重和,中川　重和,週間授業,2025年度春学期,2.0単位,2
火3,F06071 微分積分学Ⅰ 中川 重和,中川　重和,週間授業,2025年度春学期,2.0単位,2
火1,F06100 基盤数学（微分積分１） 奥村 英則,奥村　英則,週間授業,2025年度春学期,2.0単位,2
火1,F06101 数学Ⅰ 奥村 英則,奥村　英則,週間授業,2025年度春学期,2.0単位,2
火1,F06110 基盤数学（微分積分１） 安田 貴徳〔2年次以上〕,安田　貴徳,週間授業,2025年度春学期,2.0単位,2
火1,F06111 数学Ⅰ 安田 貴徳,安田　貴徳,週間授業,2025年度春学期,2.0単位,2
火1,F06130 基盤数学（微分積分１） 小野 舞子,小野　舞子,週間授業,2025年度春学期,2.0単位,2
火1,F06131 数学Ⅰ 小野 舞子,小野　舞子,週間授業,2025年度春学期,2.0単位,2
火3,F06140 基盤数学（微分積分１） 小野 舞子,小野　舞子,週間授業,2025年度春学期,2.0単位,2
火3,F06141 微分積分学Ⅰ 小野 舞子,小野　舞子,週間授業,2025年度春学期,2.0単位,2
火1,F06160 基盤数学（微分積分１） 平松 直哉,平松　直哉,週間授業,2025年度春学期,2.0単位,2
火1,F06161 数学Ⅰ 平松 直哉,平松　直哉,週間授業,2025年度春学期,2.0単位,2
火3,F06170 基盤数学（微分積分１） 平松 直哉,平松　直哉,週間授業,2025年度春学期,2.0単位,2
火3,F06171 微分積分学Ⅰ 平松 直哉,平松　直哉,週間授業,2025年度春学期,2.0単位,2
火3,F06190 基盤数学（微分積分２） 中川 重和,中川　重和,週間授業,2025年度秋学期,2.0単位,2
火3,F06191 微分積分学Ⅱ 中川 重和,中川　重和,週間授業,2025年度秋学期,2.0単位,2
火1,F06230 基盤数学（微分積分２） 奥村 英則,奥村　英則,週間授業,2025年度秋学期,2.0単位,2
火1,F06231 解析学Ⅱ 奥村 英則,奥村　英則,週間授業,2025年度秋学期,2.0単位,2
火1,F06240 基盤数学（微分積分２） 安田 貴徳〔2年次以上〕,安田　貴徳,週間授業,2025年度秋学期,2.0単位,2
火1,F06241 数学Ⅱ 安田 貴徳,安田　貴徳,週間授業,2025年度秋学期,2.0単位,2
火1,F06260 基盤数学（微分積分２） 小野 舞子,小野　舞子,週間授業,2025年度秋学期,2.0単位,2
火1,F06261 数学Ⅱ 小野 舞子,小野　舞子,週間授業,2025年度秋学期,2.0単位,2
火3,F06270 基盤数学（微分積分２） 小野 舞子,小野　舞子,週間授業,2025年度秋学期,2.0単位,2
火3,F06271 微分積分学Ⅱ 小野 舞子,小野　舞子,週間授業,2025年度秋学期,2.0単位,2
火3,F06290 基盤数学（微分積分２） 平松 直哉,平松　直哉,週間授業,2025年度秋学期,2.0単位,2
火3,F06291 微分積分学Ⅱ 平松 直哉,平松　直哉,週間授業,2025年度秋学期,2.0単位,2
火1,F06300 基盤数学（微分積分２） 平松 直哉,平松　直哉,週間授業,2025年度秋学期,2.0単位,2
火1,F06301 解析学Ⅱ 平松 直哉,平松　直哉,週間授業,2025年度秋学期,2.0単位,2
火3,F06310 基盤数学（線形代数） 吉野 雄二〔2年次以上〕,吉野　雄二,週間授業,2025年度春学期,2.0単位,2
火3,F06320 基盤数学（線形代数） 大熊 一正,大熊　一正,週間授業,2025年度春学期,2.0単位,2
火3,F06321 数学Ⅲ 大熊 一正,大熊　一正,週間授業,2025年度春学期,2.0単位,2
火3,F06330 基盤数学（線形代数） 奥村 英則,奥村　英則,週間授業,2025年度春学期,2.0単位,2
火3,F06350 基盤数学（線形代数） 安田 貴徳,安田　貴徳,週間授業,2025年度春学期,2.0単位,2
火3,F06351 数学Ⅲ 安田 貴徳,安田　貴徳,週間授業,2025年度春学期,2.0単位,2
火1,F06690 基盤地学１ 今山 武志,今山　武志,週間授業,2025年度春学期,2.0単位,2
火1,F06691 地学基礎論Ⅰ 今山 武志,今山　武志,週間授業,2025年度春学期,2.0単位,2
火1,F06700 基盤地学１ 佐藤 友彦,佐藤　友彦,週間授業,2025年度春学期,2.0単位,2
火1,F06701 地学基礎論Ⅰ 佐藤 友彦,佐藤　友彦,週間授業,2025年度春学期,2.0単位,2
火1,F06710 基盤地学１ 青木 一勝,青木　一勝,週間授業,2025年度春学期,2.0単位,2
火1,F06711 地学基礎論Ⅰ 青木 一勝,青木　一勝,週間授業,2025年度春学期,2.0単位,2
火1,F06720 基盤地学２ 今山 武志,今山　武志,週間授業,2025年度秋学期,2.0単位,2
火1,F06721 地学基礎論Ⅱ 今山 武志,今山　武志,週間授業,2025年度秋学期,2.0単位,2
火1,F06730 基盤地学２ 佐藤 友彦,佐藤　友彦,週間授業,2025年度秋学期,2.0単位,2
火1,F06731 地学基礎論Ⅱ 佐藤 友彦,佐藤　友彦,週間授業,2025年度秋学期,2.0単位,2
火1,F06740 基盤地学２ 青木 一勝,青木　一勝,週間授業,2025年度秋学期,2.0単位,2
火1,F06741 地学基礎論Ⅱ 青木 一勝,青木　一勝,週間授業,2025年度秋学期,2.0単位,2
火4 火5,F06820 基盤化学実験 火45,青木　宏之／坂根　弦太／中山　智津子／柳原　章子,週間授業,2025年度春学期,2.0単位,2
火4 火5,F06821 化学基礎実験 火45,青木　宏之／坂根　弦太／中山　智津子／柳原　章子,週間授業,2025年度春学期,2.0単位,2
火4 火5,F06850 基盤化学実験 火45,高原　周一／坂根　弦太／中山　智津子／柳原　章子,週間授業,2025年度秋学期,2.0単位,2
火4 火5,F06851 化学基礎実験 火45,高原　周一／坂根　弦太／中山　智津子／柳原　章子,週間授業,2025年度秋学期,2.0単位,2
火4 火5,F06860 基盤生物学実験 火45,那須　浩郎／黒木　出／正木　智美,週間授業,2025年度春学期,2.0単位,2
火4 火5,F06861 生物学基礎実験 火45,那須　浩郎／黒木　出／正木　智美,週間授業,2025年度春学期,2.0単位,2
火4 火5,F06870 基盤生物学実験 火45,那須　浩郎／黒木　出／正木　智美,週間授業,2025年度秋学期,2.0単位,2
火4 火5,F06871 生物学基礎実験 火45,那須　浩郎／黒木　出／正木　智美,週間授業,2025年度秋学期,2.0単位,2
火4 火5,F06910 基盤地学実験 火45,佐藤　友彦／青木　一勝／齋藤　亜沙実／山口　一裕,週間授業,2025年度春学期,2.0単位,2
火4 火5,F06911 地学基礎実験 火45,佐藤　友彦／青木　一勝／齋藤　亜沙実／山口　一裕,週間授業,2025年度春学期,2.0単位,2
火4 火5,F06920 基盤地学実験 火45,佐藤　友彦／青木　一勝／齋藤　亜沙実／山口　一裕,週間授業,2025年度秋学期,2.0単位,2
火4 火5,F06921 地学基礎実験 火45,佐藤　友彦／青木　一勝／齋藤　亜沙実／山口　一裕,週間授業,2025年度秋学期,2.0単位,2
火2,F07130 基盤英語（初級） 〔2年次以上〕,西川　憲一,週間授業,2025年度春学期,2.0単位,2
火1,F07160 基盤英語（初級）,大竹　みしず,週間授業,2025年度秋学期,2.0単位,2
火2,F07170 基盤英語（初級）,大竹　みしず,週間授業,2025年度秋学期,2.0単位,2
火2,F07260 基盤英語（準中級） 〔2年次以上〕,杉山　正二,週間授業,2025年度春学期,2.0単位,2
火1,F07310 基盤英語（準中級）,太田　由佳,週間授業,2025年度秋学期,2.0単位,2
火2,F07320 基盤英語（準中級）,太田　由佳,週間授業,2025年度秋学期,2.0単位,2
火2,F07500 基盤英語（中級） 〔2年次以上〕,松岡　由美子,週間授業,2025年度春学期,2.0単位,2
火1,F07530 基盤英語（中級）,森元　亜紀子,週間授業,2025年度秋学期,2.0単位,2
火2,F07540 基盤英語（中級）,森元　亜紀子,週間授業,2025年度秋学期,2.0単位,2
火1,F07690 基盤英語（上級）,デイビッド　ニール,週間授業,2025年度秋学期,2.0単位,2
火2,F07700 基盤英語（上級）,ジェーン　オハロラン,週間授業,2025年度秋学期,2.0単位,2
火3,F07770 基礎英会話 ジエイソン ベイデンメン,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,週間授業,2025年度春学期,2.0単位,2
火2,F07810 基礎英会話 デイビット ニール,デイビッド　ニール,週間授業,2025年度秋学期,2.0単位,2
火1,F07840 基礎英会話 デイビッド ニール,デイビッド　ニール,週間授業,2025年度春学期,2.0単位,2
火2,F07850 基礎英会話 デイビッド ニール,デイビッド　ニール,週間授業,2025年度春学期,2.0単位,2
火3,F08160 検定英語（初級） 石田美佐江,石田　美佐江,週間授業,2025年度春学期,2.0単位,2
火3,F08170 検定英語（初級） 石田美佐江,石田　美佐江,週間授業,2025年度秋学期,2.0単位,2
火2,F08250 英語コミュニケーション ジェーン オハロラン,ジェーン　オハロラン,週間授業,2025年度春学期,2.0単位,2
火1,F08320 英語コミュニケーション ジエイソン ベイデンメン,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,週間授業,2025年度春学期,2.0単位,2
火1,F08380 英語コミュニケーション ジエイソン ベイデンメン,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,週間授業,2025年度秋学期,2.0単位,2
火3,F08390 英語コミュニケーション ジエイソン ベイデンメン,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,週間授業,2025年度秋学期,2.0単位,2
火2,F08490 初修外国語１ ドイツ語 入江 祐加,入江　祐加,週間授業,2025年度秋学期,2.0単位,2
火2,F08491 ドイツ語ⅠＡ (前半)ドイツ語 入江 祐加,入江　祐加,週間授業(学期前半),2025年度秋学期,0.5単位,2
火2,F08492 ドイツ語ⅠＢ (後半)ドイツ語 入江 祐加,入江　祐加,週間授業(学期後半),2025年度秋学期,0.5単位,2
火2,F08530 初修外国語１ ドイツ語 三木 恒治,三木　恒治,週間授業,2025年度春学期,2.0単位,2
火2,F08531 ドイツ語ⅠＡ (前半)ドイツ語 三木 恒治,三木　恒治,週間授業(学期前半),2025年度春学期,0.5単位,2
火2,F08532 ドイツ語ⅠＢ (後半)ドイツ語 三木 恒治,三木　恒治,週間授業(学期後半),2025年度春学期,0.5単位,2
火1,F08570 初修外国語１ ハングル 林 正黙,林　正黙,週間授業,2025年度春学期,2.0単位,2
火1,F08571 ハングルⅠＡ (前半)ハングル 林 正黙,林　正黙,週間授業(学期前半),2025年度春学期,0.5単位,2
火1,F08572 ハングルⅠＢ (後半)ハングル 林 正黙,林　正黙,週間授業(学期後半),2025年度春学期,0.5単位,2
火2,F08580 初修外国語１ ハングル 林 正黙,林　正黙,週間授業,2025年度春学期,2.0単位,2
火2,F08581 ハングルⅠＡ (前半)ハングル 林 正黙,林　正黙,週間授業(学期前半),2025年度春学期,0.5単位,2
火2,F08582 ハングルⅠＢ (後半)ハングル 林 正黙,林　正黙,週間授業(学期後半),2025年度春学期,0.5単位,2
火3,F08590 初修外国語１ ハングル 林 正黙,林　正黙,週間授業,2025年度春学期,2.0単位,2
火3,F08591 ハングルⅠＡ (前半)ハングル 林 正黙,林　正黙,週間授業(学期前半),2025年度春学期,0.5単位,2
火3,F08592 ハングルⅠＢ (後半)ハングル 林 正黙,林　正黙,週間授業(学期後半),2025年度春学期,0.5単位,2
火1,F08600 初修外国語１ ハングル 林 正黙,林　正黙,週間授業,2025年度秋学期,2.0単位,2
火1,F08601 ハングルⅠＡ (前半)ハングル 林 正黙,林　正黙,週間授業(学期前半),2025年度秋学期,0.5単位,2
火1,F08602 ハングルⅠＢ (後半)ハングル 林 正黙,林　正黙,週間授業(学期後半),2025年度秋学期,0.5単位,2
火2,F08610 初修外国語１ ハングル 林 正黙,林　正黙,週間授業,2025年度秋学期,2.0単位,2
火2,F08611 ハングルⅠＡ (前半)ハングル 林 正黙,林　正黙,週間授業(学期前半),2025年度秋学期,0.5単位,2
火2,F08612 ハングルⅠＢ (後半)ハングル 林 正黙,林　正黙,週間授業(学期後半),2025年度秋学期,0.5単位,2
火5,F08710 初修外国語１ フランス語 石井 成人,石井　成人,週間授業,2025年度春学期,2.0単位,2
火5,F08711 フランス語ⅠＡ (前半)フランス語 石井 成人,石井　成人,週間授業(学期前半),2025年度春学期,0.5単位,2
火5,F08712 フランス語ⅠＢ (後半)フランス語 石井 成人,石井　成人,週間授業(学期後半),2025年度春学期,0.5単位,2
火5,F08720 初修外国語１ フランス語 石井 成人,石井　成人,週間授業,2025年度秋学期,2.0単位,2
火5,F08721 フランス語ⅠＡ (前半)フランス語 石井 成人,石井　成人,週間授業(学期前半),2025年度秋学期,0.5単位,2
火5,F08722 フランス語ⅠＢ (後半)フランス語 石井 成人,石井　成人,週間授業(学期後半),2025年度秋学期,0.5単位,2
火1,F08760 初修外国語１ 中国語 奥野 新太郎,奥野　新太郎,週間授業,2025年度春学期,2.0単位,2
火1,F08761 中国語ⅠＡ (前半)中国語 奥野 新太郎,奥野　新太郎,週間授業(学期前半),2025年度春学期,0.5単位,2
火1,F08762 中国語ⅠＢ (後半)中国語 奥野 新太郎,奥野　新太郎,週間授業(学期後半),2025年度春学期,0.5単位,2
火2,F08800 初修外国語１ 中国語 楊 霊琳,楊　霊琳,週間授業,2025年度春学期,2.0単位,2
火2,F08801 中国語ⅠＡ (前半)中国語 楊 霊琳,楊　霊琳,週間授業(学期前半),2025年度春学期,0.5単位,2
火2,F08802 中国語ⅠＢ (後半)中国語 楊 霊琳,楊　霊琳,週間授業(学期後半),2025年度春学期,0.5単位,2
火1,F08870 初修外国語１ 中国語 朱 風,朱　風,週間授業,2025年度春学期,2.0単位,2
火2,F08880 初修外国語１ 中国語 朱 風,朱　風,週間授業,2025年度春学期,2.0単位,2
火1,F08890 初修外国語１ 中国語 朱 風,朱　風,週間授業,2025年度秋学期,2.0単位,2
火2,F08900 初修外国語１ 中国語 朱 風,朱　風,週間授業,2025年度秋学期,2.0単位,2
火3,F08910 初修外国語１ 中国語 華 信来,華　信来,週間授業,2025年度春学期,2.0単位,2
火4,F08920 初修外国語１ 中国語 華 信来,華　信来,週間授業,2025年度春学期,2.0単位,2
火3,F08930 初修外国語１ 中国語 華 信来,華　信来,週間授業,2025年度秋学期,2.0単位,2
火4,F08940 初修外国語１ 中国語 華 信来,華　信来,週間授業,2025年度秋学期,2.0単位,2
火1,F09030 初修外国語２ 中国語 奥野 新太郎,奥野　新太郎,週間授業,2025年度秋学期,2.0単位,2
火1,F09031 中国語ⅡＡ (前半)中国語 奥野 新太郎,奥野　新太郎,週間授業(学期前半),2025年度秋学期,0.5単位,2
火1,F09032 中国語ⅡＢ (後半)中国語 奥野 新太郎,奥野　新太郎,週間授業(学期後半),2025年度秋学期,0.5単位,2
火3,F09050 初修外国語２ 中国語 朱 風,朱　風,週間授業,2025年度春学期,2.0単位,2
火5,F09080 初修外国語３ 中国語 楊 霊琳,楊　霊琳,週間授業,2025年度春学期,2.0単位,2
火4,F09090 初修外国語３ 中国語 楊 霊琳,楊　霊琳,週間授業,2025年度秋学期,2.0単位,2
火5,F09100 基盤日本語１ 留学生対象科目 佐藤 美穂,佐藤　美穂,週間授業,2025年度春学期,2.0単位,2
火5,F09120 基盤日本語１ 留学生対象科目 谷川 依津江,谷川　依津江,週間授業,2025年度春学期,2.0単位,2
火5,F09480 リーダーシップ・ゼミナール,野間川内　一樹／安井　正也／中山　紘之／林　恒宏／横山　ひとみ,週間授業,2025年度秋学期,2.0単位,2
火5,F09481 リーダーシップ・ゼミナール,野間川内　一樹／安井　正也／中山　紘之／林　恒宏／横山　ひとみ,週間授業,2025年度秋学期,2.0単位,2
火4,F10810 シミュレーションの数理,大江　貴司,週間授業,2025年度春学期,2.0単位,2
火1,F10840 システムの数理Ⅱ ＭＡクラス,須藤　清一,週間授業,2025年度秋学期,2.0単位,2
火2,F10850 システムの数理Ⅱ ＭＢクラス,須藤　清一,週間授業,2025年度秋学期,2.0単位,2
火5 金5,F10940 数学基礎と演習Ⅰ (前半)火5金5,阿部　拓,週間授業(学期前半),2025年度春学期,2.0単位,2
火5 金5,F10950 数学基礎と演習Ⅱ (後半)火5金5,井上　雅照,週間授業(学期後半),2025年度春学期,2.0単位,2
火3,F11000 解析学と演習Ⅲ 2023年度以降入学生,渡邊　道之,週間授業,2025年度秋学期,2.0単位,2
火3 金3,F11050 微分積分学と演習Ⅰ (前半)火3金3 ＭＡクラス,鬼塚　政一,週間授業(学期前半),2025年度春学期,2.0単位,2
火4 金4,F11060 微分積分学と演習Ⅰ (前半)火4金4 ＭＢクラス,鬼塚　政一,週間授業(学期前半),2025年度春学期,2.0単位,2
火3 金3,F11070 微分積分学と演習Ⅱ (後半)火3金3 ＭＡクラス,井上　雅照,週間授業(学期後半),2025年度春学期,2.0単位,2
火4 金4,F11080 微分積分学と演習Ⅱ (後半)火4金4 ＭＢクラス,井上　雅照,週間授業(学期後半),2025年度春学期,2.0単位,2
火3 金3,F11130 線型代数学と演習Ⅰ (前半)火3金3 ＭＢクラス,柴田　大樹,週間授業(学期前半),2025年度春学期,2.0単位,2
火4 金4,F11140 線型代数学と演習Ⅰ (前半)火4金4 ＭＡクラス,柴田　大樹,週間授業(学期前半),2025年度春学期,2.0単位,2
火3 金3,F11150 線型代数学と演習Ⅱ (後半)火3金3 ＭＢクラス,坂内　真三,週間授業(学期後半),2025年度春学期,2.0単位,2
火4 金4,F11160 線型代数学と演習Ⅱ (後半)火4金4 ＭＡクラス,坂内　真三,週間授業(学期後半),2025年度春学期,2.0単位,2
火1 金1,F11210 微分積分学と演習Ⅴ (前半)火1金1 ＭＡクラス,渡邊　道之,週間授業(学期前半),2025年度春学期,2.0単位,2
火2 金2,F11220 微分積分学と演習Ⅴ (前半)火2金2 ＭＢクラス,渡邊　道之,週間授業(学期前半),2025年度春学期,2.0単位,2
火1 金1,F11230 微分積分学と演習Ⅵ (後半)火1金1 ＭＡクラス 2024年度以降入学,渡邊　道之,週間授業(学期後半),2025年度春学期,2.0単位,2
火2 金2,F11240 微分積分学と演習Ⅵ (後半)火2金2 ＭＢクラス 2024年度以降入学,渡邊　道之,週間授業(学期後半),2025年度春学期,2.0単位,2
火1 金1,F11250 微分積分学と演習Ⅶ (前半)火1金1 ＭＡクラス 2024年度以降入学,瓜屋　航太,週間授業(学期前半),2025年度秋学期,2.0単位,2
火2 金2,F11260 微分積分学と演習Ⅶ (前半)火2金2 ＭＢクラス 2024年度以降入学,瓜屋　航太,週間授業(学期前半),2025年度秋学期,2.0単位,2
火1 金1,F11270 微分積分学と演習Ⅷ (後半)火1金1 ＭＡクラス 2024年度以降入学,鬼塚　政一,週間授業(学期後半),2025年度秋学期,2.0単位,2
火2 金2,F11280 微分積分学と演習Ⅷ (後半)火2金2 ＭＢクラス 2024年度以降入学,鬼塚　政一,週間授業(学期後半),2025年度秋学期,2.0単位,2
火1 金1,F11290 線型代数学と演習Ⅴ (前半)火1金1 ＭＢクラス,坂内　真三,週間授業(学期前半),2025年度春学期,2.0単位,2
火2 金2,F11300 線型代数学と演習Ⅴ (前半)火2金2 ＭＡクラス,坂内　真三,週間授業(学期前半),2025年度春学期,2.0単位,2
火1 金1,F11310 線型代数学と演習Ⅵ (後半)火1金1 ＭＢクラス,浜畑　芳紀,週間授業(学期後半),2025年度春学期,2.0単位,2
火2 金2,F11320 線型代数学と演習Ⅵ (後半)火2金2 ＭＡクラス,浜畑　芳紀,週間授業(学期後半),2025年度春学期,2.0単位,2
火1 金1,F11330 線型代数学と演習Ⅶ (前半)火1金1 ＭＢクラス,山田　紀美子,週間授業(学期前半),2025年度秋学期,2.0単位,2
火2 金2,F11340 線型代数学と演習Ⅶ (前半)火2金2 ＭＡクラス,山田　紀美子,週間授業(学期前半),2025年度秋学期,2.0単位,2
火1 金1,F11350 線型代数学と演習Ⅷ (後半)火1金1 ＭＢクラス,阿部　拓,週間授業(学期後半),2025年度秋学期,2.0単位,2
火2 金2,F11360 線型代数学と演習Ⅷ (後半)火2金2 ＭＡクラス,阿部　拓,週間授業(学期後半),2025年度秋学期,2.0単位,2
火4,F11370 現象の数理Ⅱ,鬼塚　政一,週間授業,2025年度秋学期,2.0単位,2
火4,F11371 現象の数理Ⅱａ (前半),鬼塚　政一,週間授業(学期前半),2025年度秋学期,1.0単位,2
火4,F11372 現象の数理Ⅱｂ (後半),鬼塚　政一,週間授業(学期後半),2025年度秋学期,1.0単位,2
火4,F11420 幾何学と演習Ⅰ,井上　雅照,週間授業,2025年度秋学期,2.0単位,2
火3,F11460 集合と位相Ⅰ,黒木　慎太郎,週間授業,2025年度秋学期,2.0単位,2
火3,F11530 情報数学Ⅰ,大江　貴司,週間授業,2025年度春学期,2.0単位,2
火4,F11620 植物生理学,藤木　利之,週間授業,2025年度春学期,2.0単位,2
火3,F11710 教育基礎論,皿田　琢司,週間授業,2025年度秋学期,2.0単位,2
火1,F11740 情報システムⅡ,伊代野　淳,週間授業,2025年度秋学期,2.0単位,2
火2,F11750 情報と職業 (基礎),三浦　佐代子,週間授業,2025年度秋学期,2.0単位,2
火5,F11830 線形数理,荒谷　督司,週間授業,2025年度春学期,2.0単位,2
火4 火5,F11930 物理学実験 火45 ＳＡクラス,森　嘉久／小坂　圭二／田邉　洋一,週間授業,2025年度秋学期,2.0単位,2
火1 火2,F12090 数学要論Ⅱ (後半)火12,稲葉　和正,週間授業(学期後半),2025年度春学期,2.0単位,2
火5,F12200 物理化学,杉山　裕子,週間授業,2025年度春学期,2.0単位,2
火5,F12410 有機化学Ⅰ,東村　秀之,週間授業,2025年度秋学期,2.0単位,2
火2,F12430 生命科学Ⅰ,藤木　利之,週間授業,2025年度春学期,2.0単位,2
火2,F12440 生命科学Ⅱ,齋藤　達昭,週間授業,2025年度秋学期,2.0単位,2
火4,F12450 地球科学Ⅰ,鎌滝　孝信,週間授業,2025年度春学期,2.0単位,2
火4,F12480 解析学Ⅰ,長渕　裕,週間授業,2025年度秋学期,2.0単位,2
火2,F12510 確率・統計Ⅱ,山崎　洋一,週間授業,2025年度秋学期,2.0単位,2
火1 火2,F12560 数学要論Ⅰ (前半)火12,稲葉　和正,週間授業(学期前半),2025年度春学期,2.0単位,2
火1,F12600 電気磁気学Ⅰ,森　嘉久,週間授業,2025年度秋学期,2.0単位,2
火1,F12630 生物化学,齋藤　達昭,週間授業,2025年度春学期,2.0単位,2
火1,F12830 応用電磁気学,石田　弘樹,週間授業,2025年度春学期,2.0単位,2
火2,F12840 プログラミング,長尾　桂子,週間授業,2025年度秋学期,2.0単位,2
火3,F12920 光物理学,渡邉　誠,週間授業,2025年度秋学期,2.0単位,2
火2,F12930 熱力学,山本　薫,週間授業,2025年度春学期,2.0単位,2
火3 火4,F13040 応用物理学実験 火34,米田　稔／渡邉　誠／松島　康,週間授業,2025年度春学期,2.0単位,2
火3 火4 火5 金3 金4 金5,F13180 分析化学実験 (前半)火345金345〔3年;2年Sコース〕,川本　大祐／横山　崇／山田　真路,週間授業(学期前半),2025年度春学期,3.0単位,2
火2,F13250 分析化学演習,横山　崇,週間授業,2025年度秋学期,2.0単位,2
火1,F13300 バイオ有機化学,山田　真路,週間授業,2025年度秋学期,2.0単位,2
火3 火4 火5 金3 金4 金5,F13470 無機化学実験 (後半)火345金345,佐藤　泰史／満身　稔,週間授業(学期後半),2025年度秋学期,3.0単位,2
火3 火4 火5 金3 金4 金5,F13480 有機化学実験 (前半)火345金345,若松　寛／岩永　哲夫,週間授業(学期前半),2025年度秋学期,3.0単位,2
火3 火4 火5 金3 金4 金5,F13490 物理化学実験 (後半)火345金345〔3年;2年Sコース〕,大坂　昇／酒井　誠,週間授業(学期後半),2025年度春学期,3.0単位,2
火2,F13560 有機化学Ⅲ,若松　寛,週間授業,2025年度春学期,2.0単位,2
火3,F13770 動物病理学,水野　信哉,週間授業,2025年度秋学期,2.0単位,2
火4 火5,F13820 野外調査実習 火45,小林　秀司／竹ノ下　祐二,週間授業,2025年度春学期,2.0単位,2
火4 火5,F13850 動物保全・育種学実習 火45,中本　敦／目加田　和之,週間授業,2025年度秋学期,2.0単位,2
火2,F13930 動物生理学,託見　健,週間授業,2025年度秋学期,2.0単位,2
火2,F14000 動物環境学,中本　敦,週間授業,2025年度春学期,2.0単位,2
火1,F14050 実験動物学,目加田　和之,週間授業,2025年度春学期,2.0単位,2
火1,F14060 動物関連法規,目加田　和之,週間授業,2025年度秋学期,2.0単位,2
火2,F14140 動物生態学,中本　敦,週間授業,2025年度秋学期,2.0単位,2
火3,F14170 動物学ゼミナール,目加田　和之／村上　貴弘／布目　三夫／小林　秀司／託見　健／中本　敦／水野　信哉／竹ノ下　祐二,週間授業,2025年度春学期,2.0単位,2
火1,F14180 自然人類学,竹ノ下　祐二,週間授業,2025年度春学期,2.0単位,2
火3,F14190 霊長類学,竹ノ下　祐二,週間授業,2025年度秋学期,2.0単位,2
火2,F14200 動物園学,竹ノ下　祐二,週間授業,2025年度春学期,2.0単位,2
火2,F14520 検査総合管理学,富安　聡／逢坂　大樹,週間授業,2025年度秋学期,2.0単位,2
火2,F14580 生化学検査学,逢坂　大樹／富安　聡,週間授業,2025年度春学期,2.0単位,2
火2,F14610 血液検査学Ⅱ (前半),片岡　健,週間授業(学期前半),2025年度秋学期,1.0単位,2
火2,F14630 再生医療移植学 (後半),片岡　健／児島　葉子,週間授業(学期後半),2025年度秋学期,1.0単位,2
火1,F14640 先端医学機器論,山口　悟,週間授業,2025年度春学期,2.0単位,2
火3 火4 火5,F14660 生理学実習 火345,橋川　直也／橋川　成美／玉木　俊治／前田　なつ美,週間授業,2025年度秋学期,2.0単位,2
火3 火4 火5,F14661 生理学実習 (前半)火345,橋川　直也／橋川　成美／玉木　俊治／前田　なつ美,週間授業(学期前半),2025年度秋学期,1.0単位,2
火3 火4 火5,F14662 臨床生理学実習Ⅰ (後半)火345,橋川　直也／橋川　成美／玉木　俊治／前田　なつ美,週間授業(学期後半),2025年度秋学期,1.0単位,2
火3,F14840 力学Ⅰ,林　良太,週間授業,2025年度春学期,2.0単位,2
火3,F14860 コンピュータ基礎,田中　雅次,週間授業,2025年度秋学期,2.0単位,2
火1,F15060 自動制御Ⅱ,衣笠　哲也,週間授業,2025年度春学期,2.0単位,2
火2,F15070 機械要素Ⅰ,田中　雅次,週間授業,2025年度春学期,2.0単位,2
火2,F15080 機械要素Ⅱ,關　正憲,週間授業,2025年度秋学期,2.0単位,2
火1,F15130 微分と積分,關　正憲,週間授業,2025年度春学期,2.0単位,2
火1,F15150 微分方程式,吉田　浩治,週間授業,2025年度秋学期,2.0単位,2
火3,F15180 数値計算,田中　雅次,週間授業,2025年度春学期,2.0単位,2
火3 火4 火5,F15220 機械工学実験Ⅰ 火345(機シ以外は教職の教科に関する科目),清水　一郎／岩野　耕治／中川　惠友／桑木　賢也／中井　賢治／吉田　浩治／關　正憲／近藤　千尋／竹村　明洋,週間授業,2025年度春学期,2.0単位,2
